like1,like2,like3,parBETA,parFC,parK0,parK1,parK2,parLP,parMAXBAS,parPERC,parUZL,parCFMAX_rel,parCWH,parAG,parCFR,chain
0.2929615,371.37378,0.74954265,2.8731506,58.928993,0.020571748,0.076122686,0.07314129,0.5096084,5.0869164,2.475002,90.08799,1.4140092,0.03199536,0.3312463,0.11565253,0.0
0.32464072,299.48047,0.7522483,1.1115032,68.41716,0.35296053,0.15441807,0.013371702,0.64411986,4.2265887,1.2601906,310.5663,1.2870423,0.012794542,0.26300806,0.14631464,1.0
0.20924163,278.63562,0.75264657,1.6877604,420.13232,0.2968357,0.21967766,0.10147876,0.762749,2.0538476,0.10460036,382.14102,1.3592514,0.010495689,0.09754062,0.24263582,2.0
0.17961879,314.54623,0.75015306,1.4904296,416.18356,0.27922326,0.39088696,0.13902201,0.5197106,3.3937602,2.4498758,426.09076,1.2523727,0.1655536,0.6910629,0.09087152,0.0
0.09905386,370.68222,0.7487259,2.5581894,139.69543,0.2721202,0.31748056,0.07612987,0.66094995,4.472055,2.2535808,397.03952,1.4167093,0.08376652,0.456674,0.11903944,1.0
0.27931002,314.56195,0.75236326,2.3562229,209.04488,0.04662635,0.22924282,0.047361266,0.83471185,2.0051038,1.5623271,498.10757,1.3285483,0.011170356,0.5613493,0.15228121,2.0
0.15346785,424.99396,0.7498644,1.4412838,410.16034,0.08175223,0.37808028,0.14249758,0.7695434,5.781237,2.042721,93.81801,1.4946113,0.039408114,0.015493793,0.08132641,0.0
0.39092392,322.65887,0.7520095,1.801039,185.743,0.15939173,0.058427572,0.027019478,0.5180934,3.805706,0.49713847,96.97764,1.3858813,0.011630834,0.24828418,0.18339114,1.0
0.082549125,403.7128,0.7476965,4.862254,221.44588,0.3670285,0.2789627,0.08906867,0.3529282,3.671357,2.0736098,304.32358,1.5220985,0.09407895,0.51962334,0.14234889,2.0
0.07023216,336.07996,0.7471918,5.9141726,403.23438,0.2685149,0.27605468,0.10841913,0.9295479,4.680261,1.4782455,388.80087,1.4391991,0.15060778,0.8972616,0.20109554,0.0
0.34926152,335.65295,0.74955195,1.9530988,357.45142,0.17504466,0.19368617,0.042054296,0.47444263,2.2441473,2.7603998,494.992,1.3134079,0.19010542,0.4106229,0.10060498,1.0
0.037778858,311.984,0.7510101,2.5988321,114.66403,0.039613802,0.3195587,0.040317696,0.6625272,3.3833907,1.7585835,422.6054,1.2139773,0.17751165,0.9657837,0.06442754,2.0
0.41065347,326.4267,0.74973917,1.7973206,179.26909,0.36230242,0.026649628,0.14859433,0.8139326,6.16826,1.8746636,295.1358,1.2906386,0.17454645,0.037791893,0.09941641,0.0
0.18003163,350.2256,0.7497919,1.9606296,252.00542,0.32714555,0.27200216,0.07302816,0.8276195,2.3369036,1.9334818,217.98178,1.4280337,0.025009904,0.19399619,0.16644128,1.0
0.36771885,347.75183,0.7463298,3.8030276,399.36115,0.047764212,0.08508474,0.065132074,0.8008195,4.362534,1.0619714,469.97797,1.5224844,0.18205331,0.48137617,0.24752949,2.0
0.1525979,401.63733,0.7481675,4.655337,256.5614,0.055465605,0.18046415,0.09258081,0.37800318,4.7190385,1.7001228,495.5779,1.4985344,0.1123811,0.92629176,0.1274867,0.0
0.41694334,323.712,0.74775666,1.9332035,148.59265,0.044328183,0.021905934,0.14249372,0.5534079,5.531198,1.4443552,260.98993,1.3728145,0.18730508,0.12650053,0.17069359,1.0
0.09809079,374.72446,0.7490879,5.4761004,102.9897,0.23554806,0.20900312,0.05694177,0.39626363,6.4472923,1.628495,342.90753,1.4118905,0.078921475,0.86817753,0.10804142,2.0
0.13797244,310.41342,0.7466477,4.678947,414.27982,0.30765298,0.1529109,0.13849573,0.9765905,2.4806132,2.203485,125.254135,1.4360895,0.17306119,0.088987514,0.24633889,0.0
0.09929773,447.3944,0.74998426,5.699601,347.30667,0.26641977,0.22833882,0.07289028,0.5472948,3.9093962,0.8718817,265.9883,1.5157065,0.15812382,0.85076326,0.05635495,1.0
0.4178834,377.80237,0.74983466,5.7768216,400.52853,0.08466946,0.03081097,0.018281598,0.86642236,4.623905,1.3588152,14.65174,1.3821248,0.17649266,0.6644214,0.07842633,2.0
0.5470308,414.0759,0.7482861,3.0272384,335.32953,0.37827098,0.017086966,0.031007212,0.3572844,4.4172316,2.9305956,166.4987,1.5178703,0.08181153,0.33626556,0.11980414,0.0
0.5538184,357.2799,0.7483962,1.6470046,190.65369,0.31244648,0.01433261,0.030415362,0.61948913,5.3042655,1.4549619,343.5037,1.4032182,0.10080248,0.13997972,0.13284296,1.0
0.12819429,301.76706,0.7483434,1.9023399,218.3792,0.2781423,0.3875057,0.10079145,0.8574771,4.026853,1.4615904,483.32895,1.3242359,0.08506979,0.7058946,0.17200643,2.0
0.09959184,452.53336,0.75004727,3.7883198,253.15163,0.081563644,0.31363383,0.03922926,0.8403607,5.7325845,1.5125881,433.58264,1.5277545,0.105298564,0.27624217,0.056590088,0.0
0.17204379,358.73923,0.74661136,3.5147588,461.60526,0.27429157,0.29282215,0.069410264,0.44989136,5.4525623,1.4198362,223.36821,1.5130906,0.17936847,0.54205495,0.21853434,1.0
0.133012,380.02954,0.747991,4.929536,333.11533,0.387745,0.24297224,0.11193626,0.5767289,2.2266648,0.84060985,322.5126,1.5210357,0.040177505,0.9127349,0.18594833,2.0
0.11759005,363.5491,0.7476187,2.372184,419.85675,0.32767484,0.35677096,0.14516239,0.6391768,6.3566356,0.3398409,45.92315,1.4499056,0.12615255,0.1012074,0.15893027,0.0
0.10704636,274.43042,0.75112855,5.449724,229.48074,0.048219502,0.35745052,0.041657478,0.35127607,5.498583,1.7229589,158.1577,1.2010742,0.02368876,0.39087003,0.122478634,1.0
0.21693596,424.67883,0.7505413,5.141925,133.43237,0.09583735,0.15557969,0.039015237,0.6983252,6.3394876,1.9272773,73.59751,1.4554863,0.12727179,0.5677653,0.050603036,2.0
